Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,11,9,28,28,0,0,,174.0,721,161,80,73,24,172,41,,7,3.79255,1.16047,8.93165,2.12568,4.20178,1.24232,0.239037,0.0568894,0.1821475587785244,,0.238498,0.286431,0.723945,3.80494,773.8000000000001,4.44712643678161,758.0,4.35632183908046,3.07057,3.00296,16,88.30000305175781,26.0,NL,Aaron Nola,605400,16149,16149
SDP,Padres,12,8,30,30,0,0,,166.0,691,134,69,63,20,194,63,,7,3.43527,1.18392,10.511,3.39257,3.09824,1.05865,0.280681,0.0905935,0.19008719176054,,0.215815,0.280946,0.752545,3.62511,812.0000000000001,4.891566265060241,748.0,4.506024096385542,3.06723,3.32825,18,47.27000045776367,29.0,NL,Dylan Cease,656302,18525,18525
LAD,Dodgers,10,6,22,22,0,0,,126.0,509,98,47,43,13,150,41,,5,3.1057,1.10561,10.7794,2.94791,3.65662,0.962912,0.29548,0.0808069,0.21467354893684387,,0.211227,0.282101,0.76239,3.27157,679.7,5.394444444444445,623.0,4.944444444444445,2.90039,3.23293,14,91.72000122070312,22.0,NL,Tyler Glasnow,607192,14374,14374
MIN,Twins,10,8,27,27,0,0,,156.0,648,145,70,64,19,161,39,,6,3.70539,1.18113,9.28863,2.2563,4.11675,1.12308,0.247752,0.0601814,0.18757019937038422,,0.24015,0.296463,0.726781,3.59869,730.7,4.68397435897436,720.0,4.615384615384615,2.88007,2.59671,15,73.29000091552734,8.0,AL,Pablo López,641154,17085,17085
MIL,Brewers,12,8,28,28,0,0,,158.0,659,124,64,58,21,188,55,,7,3.31173,1.13201,10.6977,3.12932,3.41853,1.18902,0.284921,0.0833462,0.2015751153230667,,0.207481,0.265184,0.770926,3.68155,778.5000000000001,4.927215189873419,707.0,4.474683544303797,2.8559,3.57947,17,103.55999755859375,23.0,NL,Freddy Peralta,642547,18679,18679
STL,Cardinals,11,9,28,28,0,0,,166.0,688,153,75,69,19,164,46,,7,3.71924,1.1984,8.91301,2.49829,3.56764,1.04007,0.238804,0.0669361,0.17186801880598068,,0.240543,0.295813,0.720659,3.64514,765.9000000000001,4.613855421686748,752.0,4.530120481927711,2.85486,2.78788,16,122.05000305175781,28.0,NL,Sonny Gray,543243,12768,12768
TOR,Blue Jays,11,10,30,30,0,0,,171.0,723,157,79,72,22,178,51,,7,3.78844,1.21924,9.36307,2.69115,3.47921,1.15638,0.245999,0.0707054,0.17529328167438507,,0.236727,0.291246,0.730725,3.78146,768.6000000000001,4.494736842105264,751.0,4.391812865497076,2.80825,2.49777,17,166.66000366210938,14.0,AL,Kevin Gausman,592332,14107,14107
TEX,Rangers,10,6,24,24,0,0,,123.0,492,97,47,43,16,145,31,,5,3.16374,1.03772,10.5821,2.23429,4.73621,1.14364,0.294535,0.062188,0.2323475331068039,,0.21311,0.275808,0.760364,3.32931,643.2,5.229268292682927,589.0,4.788617886178862,2.77438,2.95996,15,49.810001373291016,13.0,AL,Jacob deGrom,594798,10954,10954
ARI,Diamondbacks,11,9,28,28,0,0,,171.0,709,155,76,70,19,165,51,,7,3.66688,1.20828,8.72461,2.71015,3.21923,0.976707,0.233399,0.0725015,0.16089730709791183,,0.238096,0.292312,0.722563,3.66858,784.7,4.5888888888888895,764.0,4.4678362573099415,2.75629,3.27273,16,37.04999923706055,15.0,NL,Corbin Burnes,669203,19361,19361
SEA,Mariners,10,8,25,25,0,0,,144.0,587,135,60,55,17,136,22,,5,3.43966,1.08938,8.47728,1.3542,6.26,1.08336,0.231338,0.0369549,0.19438285380601883,,0.241673,0.289979,0.732026,3.40723,696.5000000000002,4.836805555555557,690.0,4.791666666666667,2.75296,2.48794,15,100.83999633789062,11.0,AL,George Kirby,669923,25436,25436
TBR,Rays,10,7,22,30,0,1,,143.0,580,123,57,53,16,154,39,,3,3.31415,1.1354,9.70081,2.48562,3.90278,1.03567,0.265595,0.0680529,0.19754253327846527,,0.228571,0.289985,0.755906,3.4043,727.6000000000001,5.088111888111889,693.0,4.846153846153846,2.71606,2.86671,14,154.27000427246094,12.0,AL,Shane McClanahan,663556,21483,21483
PHI,Phillies,6,5,24,37,0,1,,144.0,604,124,62,57,19,164,45,,6,3.55002,1.17537,10.3004,2.81509,3.65899,1.17663,0.272064,0.0743551,0.19770922511816025,,0.223998,0.284143,0.750296,3.64456,688.5000000000001,4.781250000000001,652.0,4.527777777777778,2.61903,2.74238,14,235.11000061035156,26.0,NL,Jesús Luzardo,666200,19959,19959
NYM,Mets,5,4,22,43,0,1,,156.0,675,142,65,60,12,160,62,,7,3.44913,1.30536,9.18737,3.56216,2.57916,0.702576,0.236478,0.0916878,0.14478972554206848,,0.234766,0.29959,0.741413,3.46696,754.6000000000001,4.837179487179488,741.0,4.75,2.58329,2.64181,14,205.64999389648438,25.0,NL,Clay Holmes,605280,13649,13649
SDP,Padres,11,9,28,28,0,0,,161.0,675,141,73,67,20,171,57,,7,3.75371,1.22662,9.53463,3.16042,3.01689,1.10119,0.252674,0.0837531,0.16892059892416,,0.230543,0.287924,0.730658,3.82435,728.8000000000001,4.526708074534162,695.0,4.316770186335404,2.57639,2.55659,16,62.720001220703125,29.0,NL,Michael King,650633,19853,19853
PIT,Pirates,10,9,28,28,0,0,,164.0,701,163,81,74,20,152,48,,7,4.05621,1.28772,8.36224,2.61922,3.19265,1.08377,0.217184,0.0680264,0.14915801584720612,,0.252698,0.302723,0.710789,3.87535,682.8000000000002,4.163414634146343,699.0,4.262195121951219,2.53916,2.37348,15,298.9200134277344,27.0,NL,Mitch Keller,656605,17594,17594
TEX,Rangers,10,9,27,27,0,0,,156.0,648,144,72,66,19,146,44,,6,3.82748,1.20386,8.42787,2.54963,3.30553,1.09458,0.225513,0.068223,0.15729036927223206,,0.240515,0.288487,0.715339,3.8495,688.3000000000001,4.412179487179488,675.0,4.326923076923077,2.49696,2.40672,15,203.2899932861328,13.0,AL,Nathan Eovaldi,543135,9132,9132
LAA,Angels,10,9,28,28,0,0,,156.0,663,143,75,69,22,168,51,,7,3.97742,1.24097,9.67235,2.93299,3.29777,1.26231,0.253244,0.0767925,0.17645173519849777,,0.236204,0.29138,0.725897,3.94935,674.0000000000002,4.320512820512822,656.0,4.205128205128205,2.48994,2.2666,15,170.38999938964844,1.0,AL,Yusei Kikuchi,579328,20633,20633
ATL,Braves,11,8,27,27,0,0,,152.0,629,136,67,61,18,146,41,,6,3.59837,1.16387,8.62638,2.41049,3.57868,1.05573,0.231962,0.0648179,0.16714446991682053,,0.234365,0.283437,0.72744,3.70088,700.7999999999998,4.610526315789473,677.0,4.453947368421052,2.46946,2.91674,15,78.30000305175781,16.0,NL,Spencer Schwellenbach,680885,31846,31846
KCR,Royals,10,10,28,28,0,0,,173.0,734,176,89,81,21,148,48,,7,4.22899,1.29676,7.73269,2.50318,3.08915,1.10375,0.202028,0.0653993,0.13662904500961304,,0.259034,0.303665,0.696441,4.00357,695.3000000000001,4.019075144508671,723.0,4.179190751445087,2.46833,2.16295,14,179.72999572753906,7.0,AL,Seth Lugo,607625,12447,12447
MIL,Brewers,9,8,24,24,0,0,,141.0,579,123,62,57,20,155,39,,5,3.63025,1.15126,9.86975,2.4958,3.95455,1.2479,0.266871,0.0674847,0.19938649237155914,,0.230343,0.287356,0.746269,3.7211,655.6000000000001,4.649645390070923,623.0,4.418439716312057,2.45662,2.65403,14,254.5399932861328,23.0,NL,Brandon Woodruff,605540,16162,16162
BOS,Red Sox,7,7,26,37,0,1,,163.0,696,164,81,74,17,143,53,,7,4.09504,1.33039,7.89764,2.91349,2.71072,0.915166,0.205555,0.0758305,0.12972456961870193,,0.258028,0.309693,0.70152,3.83617,680.7000000000002,4.176073619631903,704.0,4.319018404907975,2.44683,2.26945,14,225.72999572753906,3.0,AL,Tanner Houck,656557,19879,19879
WSN,Nationals,10,9,28,28,0,0,,155.0,656,143,76,69,19,164,56,,7,4.02395,1.27879,9.53204,3.24462,2.9378,1.12779,0.250594,0.0853,0.1652943193912506,,0.240315,0.300741,0.716409,3.89312,680.5,4.390322580645162,667.0,4.303225806451613,2.44649,2.10784,15,200.7899932861328,24.0,NL,MacKenzie Gore,669022,22201,22201
ARI,Diamondbacks,10,8,27,27,0,0,,151.0,638,144,71,65,18,152,45,,6,3.85709,1.24835,9.02322,2.68892,3.35571,1.05233,0.237571,0.0707962,0.1667749360203743,,0.244822,0.301779,0.719367,3.70571,672.6,4.45430463576159,672.0,4.450331125827814,2.39247,2.47666,15,119.88999938964844,15.0,NL,Zac Gallen,668678,19291,19291
CIN,Reds,9,9,27,27,0,0,,150.0,643,149,77,70,20,141,44,,6,4.21046,1.28633,8.45701,2.63604,3.20823,1.22164,0.219626,0.0684572,0.15116924047470093,,0.251972,0.299138,0.707254,4.05924,608.6,4.057333333333333,622.0,4.1466666666666665,2.36576,2.11823,14,331.239990234375,18.0,NL,Brady Singer,663903,25377,25377
DET,Tigers,10,9,27,27,0,0,,148.0,628,136,69,63,18,157,49,,7,3.81924,1.24874,9.53587,2.99205,3.18707,1.08867,0.250349,0.0785514,0.17179733514785767,,0.237633,0.297273,0.727492,3.74893,666.2,4.501351351351351,652.0,4.405405405405405,2.32976,2.09048,15,138.3800048828125,6.0,AL,Jack Flaherty,656427,17479,17479
MIN,Twins,10,8,25,25,0,0,,143.0,586,126,65,59,22,152,31,,6,3.71746,1.09678,9.5281,1.97632,4.82112,1.39984,0.258555,0.0536296,0.204925324767828,,0.228677,0.27526,0.734491,3.84717,653.0,4.566433566433567,622.0,4.34965034965035,2.32703,2.28973,14,93.91999816894531,8.0,AL,Joe Ryan,657746,21390,21390
SEA,Mariners,11,9,28,28,0,0,,165.0,688,142,72,66,21,169,50,,7,3.58076,1.1645,9.22159,2.71131,3.40115,1.16307,0.245332,0.0721319,0.17319975793361664,,0.225226,0.273994,0.742136,3.82826,760.5,4.609090909090909,719.0,4.357575757575757,2.326,2.47093,16,100.88999938964844,11.0,AL,Luis Castillo,622491,15689,15689
BOS,Red Sox,9,9,25,25,0,0,,142.0,610,143,72,66,15,132,49,,6,4.16984,1.3529,8.34444,3.12083,2.67378,0.947979,0.216094,0.0808195,0.13527437299489975,,0.258053,0.314257,0.702533,3.85618,593.5,4.179577464788732,614.0,4.323943661971831,2.2378,1.99365,13,372.8999938964844,3.0,AL,Brayan Bello,678394,23920,23920
NYY,Yankees,10,10,28,28,0,0,,161.0,678,137,78,71,25,178,58,,7,3.98891,1.21084,9.94526,3.22488,3.08391,1.40198,0.262345,0.0850688,0.17727602273225784,,0.223804,0.273402,0.73206,4.19021,688.7,4.277639751552796,641.0,3.981366459627329,2.16498,2.07582,15,140.91000366210938,9.0,AL,Carlos Rodón,607074,16137,16137
PHI,Phillies,6,6,24,35,0,1,,144.0,606,139,70,64,16,128,44,,6,4.02863,1.27909,8.02867,2.78597,2.88182,1.0164,0.211392,0.0733536,0.13803836703300476,,0.250694,0.29926,0.704903,3.90822,617.4000000000002,4.287500000000001,622.0,4.319444444444445,2.14634,1.91115,13,278.0299987792969,26.0,NL,Ranger Suárez,624133,17277,17277
NYM,Mets,8,6,24,31,0,1,,147.0,621,120,63,57,17,162,61,,7,3.51675,1.23749,9.93795,3.77088,2.63544,1.01542,0.260718,0.0989275,0.1617904007434845,,0.217135,0.276464,0.750975,3.82201,690.6999999999999,4.698639455782312,638.0,4.340136054421769,2.13312,2.58107,14,155.4199981689453,25.0,NL,Kodai Senga,673540,31838,31838
CIN,Reds,8,7,22,22,0,0,,122.0,513,114,59,54,16,123,37,,5,3.98412,1.2376,9.07544,2.71068,3.34803,1.21047,0.238827,0.0713336,0.1674937903881073,,0.241451,0.293163,0.718663,3.93006,529.6000000000003,4.340983606557379,522.0,4.278688524590164,2.12763,2.08111,12,235.97999572753906,18.0,NL,Nick Lodolo,666157,26378,26378
CLE,Guardians,10,9,27,27,0,0,,151.0,632,138,71,65,21,148,43,,6,3.87084,1.19638,8.78483,2.58659,3.3963,1.22033,0.233671,0.0688016,0.1648690477013588,,0.236231,0.282654,0.721896,3.96511,649.3000000000002,4.300000000000002,631.0,4.178807947019868,2.09992,2.07201,14,88.16000366210938,5.0,AL,Tanner Bibee,676440,30134,30134
NYY,Yankees,8,6,24,29,0,1,,134.0,572,121,61,56,18,136,43,,6,3.76382,1.21767,9.11551,2.86648,3.18004,1.19561,0.237914,0.0748149,0.16309921443462372,,0.230851,0.27873,0.737532,3.95415,584.5999999999999,4.362686567164179,565.0,4.2164179104477615,2.0175,2.02169,13,249.11000061035156,9.0,AL,Clarke Schmidt,657376,19899,19899
CHC,Cubs,8,6,20,20,0,0,,117.0,485,109,52,48,13,112,30,,5,3.67288,1.1899,8.61861,2.32054,3.71406,1.02055,0.230428,0.0620421,0.16838590055704117,,0.241644,0.293834,0.72169,3.62137,541.5000000000002,4.62820512820513,535.0,4.572649572649572,2.0166,1.99518,11,118.05999755859375,17.0,NL,Justin Steele,657006,17312,17312
SEA,Mariners,10,7,24,24,0,0,,125.0,514,105,51,46,16,126,31,,5,3.33055,1.0858,9.08291,2.22961,4.07376,1.15362,0.246008,0.0603883,0.1856193207204342,,0.219703,0.265165,0.752045,3.67785,599.2,4.7936000000000005,561.0,4.488,2.00815,2.27863,14,130.55999755859375,11.0,AL,Bryan Woo,693433,30279,30279
BAL,Orioles,9,8,24,24,0,0,,139.0,578,139,67,62,19,115,25,,5,4.00102,1.18022,7.45612,1.5955,4.67323,1.21783,0.198879,0.042557,0.15632163733243942,,0.253901,0.290531,0.701131,3.91524,573.5000000000001,4.12589928057554,588.0,4.23021582733813,1.99049,1.67954,13,192.4199981689453,2.0,AL,Zach Eflin,621107,13774,13774
CHC,Cubs,10,8,26,26,0,0,,155.0,640,143,74,67,23,143,35,,6,3.91844,1.14771,8.29985,2.03349,4.08157,1.34934,0.222843,0.0545973,0.16824570670723915,,0.238011,0.275592,0.71675,4.06788,655.3,4.227741935483871,639.0,4.122580645161291,1.98794,2.08934,14,78.08999633789062,17.0,NL,Shota Imanaga,684007,33829,33829
CIN,Reds,4,4,22,44,0,1,,157.0,670,153,80,73,23,139,44,,7,4.18495,1.25568,7.94707,2.54716,3.11998,1.29392,0.206935,0.0663257,0.14060919731855392,,0.246772,0.284377,0.70922,4.24609,610.0999999999999,3.885987261146496,615.0,3.917197452229299,1.9498,1.96298,12,315.4200134277344,18.0,NL,Nick Martinez,607259,12730,12730
SEA,Mariners,11,9,28,28,0,0,,158.0,658,142,73,67,22,148,43,,7,3.80047,1.16986,8.43629,2.43208,3.46875,1.23693,0.225023,0.0648714,0.16015157103538513,,0.233421,0.274238,0.724993,4.01307,675.3999999999999,4.274683544303796,650.0,4.113924050632911,1.92935,1.91395,15,78.69999694824219,11.0,AL,Bryce Miller,682243,29837,29837
LAA,Angels,9,8,24,24,0,0,,133.0,571,122,64,59,13,126,59,,6,3.9974,1.36845,8.55784,4.00151,2.13866,0.876768,0.220653,0.103174,0.11747924238443375,,0.24206,0.298532,0.716956,4.00957,564.1000000000001,4.241353383458647,553.0,4.157894736842105,1.91879,1.92706,13,324.3900146484375,1.0,AL,José Soriano,667755,22100,22100
TBR,Rays,4,3,18,42,0,1,,118.0,487,105,48,44,12,118,31,,5,3.34051,1.14461,8.97589,2.33232,3.84848,0.915394,0.242264,0.0629507,0.17931370437145233,,0.231982,0.288365,0.737581,3.39322,584.6,4.954237288135594,566.0,4.796610169491525,1.91597,1.94187,11,241.27999877929688,12.0,AL,Drew Rasmussen,656876,25385,25385
SDP,Padres,9,8,25,25,0,0,,141.0,586,121,67,62,21,151,47,,6,3.93152,1.18904,9.60614,2.97581,3.22807,1.33089,0.25715,0.0796605,0.17748945206403732,,0.227278,0.27737,0.72496,4.07569,613.5000000000001,4.351063829787235,575.0,4.078014184397163,1.90409,1.90019,13,173.72000122070312,29.0,NL,Nick Pivetta,601713,15454,15454
TBR,Rays,10,9,27,27,0,0,,145.0,611,129,68,62,20,152,49,,6,3.88306,1.22939,9.46723,3.05559,3.09833,1.22346,0.248964,0.0803543,0.16860974580049515,,0.231644,0.284106,0.729642,3.9806,630.6,4.348965517241379,604.0,4.165517241379311,1.89581,1.8705,14,198.11000061035156,12.0,AL,Taj Bradley,671737,22543,22543
TOR,Blue Jays,10,10,28,28,0,0,,164.0,697,158,84,77,21,147,55,,7,4.21832,1.29491,8.09848,2.99917,2.70024,1.17372,0.211504,0.0783279,0.13317612558603287,,0.248036,0.291988,0.703912,4.19416,652.5000000000002,3.978658536585367,655.0,3.9939024390243905,1.87578,1.52621,14,344.04998779296875,14.0,AL,Chris Bassitt,605135,12304,12304
TOR,Blue Jays,10,11,30,30,0,0,,174.0,739,171,91,83,24,150,52,,7,4.31131,1.28335,7.76823,2.71023,2.86626,1.25442,0.20296,0.07081,0.1321498081088066,,0.251297,0.290025,0.698519,4.2846,670.8000000000001,3.855172413793104,681.0,3.913793103448276,1.83765,1.43124,15,242.77000427246094,14.0,AL,José Berríos,621244,14168,14168
